xDLNMID,xtEIND,xtConditi,nQ1,iQ2,nQ3,nQ4,iQ5,nQ6,nQ7,nQ8,nQ9,nQ10,mQ11_1,mQ11_2,mQ11_3,mQ11_4,mQ11_5,mQ11_6,mQ11_7,mQ11_8,mQ11_9,mQ11_10,mQ11_11,mQ11_12,mQ11_13,mQ11_99999997,mQ12_1,mQ12_2,mQ12_3,mQ12_4,mQ12_5,mQ12_6,mQ12_7,mQ12_8,mQ12_9,mQ12_10,mQ12_11,mQ12_12,mQ12_13,mQ12_14,mQ12_99999997,mQ13_1,mQ13_2,mQ13_3,mQ13_4,mQ13_5,mQ13_6,mQ13_7,mQ13_8,mQ13_9,mQ13_10,mQ13_11,mQ13_12,mQ13_13,mQ13_14,mQ13_15,mQ13_16,mQ13_99999997,iQ14,nQ15,nQ16,iQ17,iQ18_1,iQ18_2,iQ18_3,iQ18_4,iQ18_5,iQ18_6,iQ18_7,iQ18_8,iQ18_9,iQ18_10,iQ18_11,iQ18_12,iQ18_13,iQ18_14,iQ18_15,iQ18_16,iQ18_17,iQ18_18,iQ18_19,iQ18_20,iQ18_21,iQ18_22,iQ18_23,nQ19,iQ20,iQ21,nQ22,iQ23,nQ24,xAge,nAgeCat,nGender,xHighLevEdu,nEduLev,xIncome,nIncCat,nProv,nRegion,nShoopResp,wwighfact,nGen,nAg,nEdu,nReg
288149271,11/24/2019 19:26:34,Qualified,Green Left,Unlikely,1 car,No,1 person,Equally shared in decision makings,10.000-19.999,20-29 km,2-4 times per month,Own driveway/carport/garage,Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,No,"If I had an EV, it would be my only car",Very good,Totally disagree,Totally disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Neutral,Mostly disagree,Totally disagree,Neutral,Totally agree,Totally agree,Totally agree,Totally disagree,Neutral,Totally agree,Mostly disagree,Totally agree,Mostly disagree,Totally agree,Totally agree,Mostly agree,Totally agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,2 people,No people,€50.000 - €64.999,68,55 - 70,Woman,"Master HBO/WO, post-doctoral",High,Between 1 and 2 times average,Above average,Gelderland,East,Both in equal measure,.555429851830243,Woman,60 - 70,High,East
288149276,11/24/2019 9:02:59,Qualified,Green Left,Very likely,1 car,No,No people,Equally shared in decision makings,10.000-19.999,I don't know,I don't know,Public road,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Neutral,No,"If I had an EV, it would be my only car",Good,Mostly disagree,I don't know,I don't know,Neutral,I don't know,Mostly agree,Neutral,I don't know,I don't know,Mostly disagree,Neutral,I don't know,I don't know,Mostly disagree,Totally agree,Totally agree,Neutral,Mostly agree,I don't know,I don't know,Mostly agree,Mostly agree,I don't know,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,2 people,No people,€65.000 - €79.999,67,55 - 70,Woman,"Master HBO/WO, post-doctoral",High,Between 1 and 2 times average,Above average,Noord-Holland,West,Both in equal measure,.555429851830243,Woman,60 - 70,High,West
288149279,11/25/2019 9:51:51,Qualified,Green Left,Likely,1 car,No,2 people,Other(s) in the household,5.000-9.999,Less than 10 km,1 time per month,Public road,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Neutral,Mostly disagree,Mostly disagree,Neutral,Neutral,Neutral,Mostly agree,Neutral,Mostly disagree,Mostly disagree,Mostly disagree,Neutral,Mostly agree,Mostly agree,Mostly disagree,Neutral,Mostly agree,Mostly disagree,Neutral,Neutral,Neutral,Neutral,Mostly agree,Neutral,Official governmental websites,More negative,More positive,2 people,No people,€35.000 - €49.999,66,55 - 70,Woman,"Master HBO/WO, post-doctoral",High,Between 1 and 2 times average,Above average,Zuid-Holland,3 large municipalities,My partner,.555429851830243,Woman,60 - 70,High,3 large municipalities
288149284,11/23/2019 22:48:31,Qualified,PvdA,Very likely,2 cars,No,3 people,Equally shared in decision makings,Less than 1.000 km,10-19 km,Rare/never,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Very good,Totally disagree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Totally disagree,I don't know,I don't know,Mostly agree,I don't know,I don't know,Mostly disagree,I don't know,I don't know,I don't know,I don't know,Mostly agree,Totally agree,I don't know,I don't know,I don't know,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",More negative,More positive,2 people,No people,€65.000 - €79.999,59,45 - 54,Woman,Bachelor HBO/WO,High,Between 1 and 2 times average,Above average,Zuid-Holland,Suburbs,Unknown,1.29135773820657,Woman,50 - 59,High,Suburbs
288149292,11/24/2019 13:34:17,Qualified,VVD,Very likely,1 car,No,No people,Myself,10.000-19.999,20-29 km,2-4 times per month,Public road,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally agree,No,"If I had an EV, it would be my only car",Good,Neutral,Neutral,I don't know,I don't know,I don't know,I don't know,I don't know,Neutral,I don't know,I don't know,I don't know,I don't know,Mostly agree,Neutral,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Car dealer(s),Did not change,Did not change,1 person,No people,I'd rather not say,66,55 - 70,Woman,Havo/VWO,Middle,Don't know,Unknown,Zuid-Holland,Suburbs,Myself,2.01514732257929,Woman,60 - 70,Middle,Suburbs
288149299,11/27/2019 16:29:16,Qualified,50Plus,Very likely,1 car,No,4 people or more,Myself,20.000-29.999,40-49 km,Several times biannually,Own driveway/carport/garage,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,No,"If I had an EV, it would be my only car",Good,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Neutral,Neutral,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Neutral,Neutral,Mostly agree,Mostly agree,Neutral,Mostly agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,2 people,No people,€50.000 - €64.999,65,55 - 70,Man,Bachelor HBO/WO,High,Between 1 and 2 times average,Above average,Friesland,North,Both in equal measure,.456239010461372,Man,60 - 70,High,North
288149300,11/25/2019 16:19:35,Qualified,SP,Very likely,2 cars,No,1 person,Equally shared in decision makings,20.000-29.999,40-49 km,1 time biannually,Parking in shared common area without individual parking space,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Good,Neutral,Neutral,I don't know,Neutral,I don't know,Mostly agree,Neutral,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,I don't know,Mostly agree,Neutral,Neutral,Neutral,Mostly agree,Mostly agree,I don't know,Totally agree,I don't know,Mostly agree,Mostly agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,More positive,2 people,No people,€65.000 - €79.999,59,45 - 54,Woman,Bachelor HBO/WO,High,2 times average,Above average,Utrecht,West,Myself,.8139497978362,Woman,50 - 59,High,West
288149303,11/27/2019 14:41:07,Qualified,VVD,Very likely,1 car,No,No people,Myself,5.000-9.999,10-19 km,Rare/never,Own driveway/carport/garage,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Totally agree,No,"If I had an EV, it would be my only car",Very good,I don't know,Neutral,Mostly agree,Mostly agree,I don't know,Neutral,Mostly agree,Mostly disagree,Neutral,Mostly disagree,Totally agree,Mostly agree,Mostly agree,Neutral,Totally agree,Totally agree,Mostly agree,Totally agree,I don't know,Totally agree,Mostly agree,Mostly agree,Mostly agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,1 person,No people,€35.000 - €49.999,61,55 - 70,Woman,Bachelor HBO/WO,High,Average,Average,Utrecht,West,Myself,1.18498113817601,Woman,60 - 70,High,West
288149306,11/24/2019 9:05:45,Qualified,Other party,Very likely,1 car,No,4 people or more,Myself,10.000-19.999,20-29 km,Rare/never,Public road,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly disagree,No,I would never buy an EV,Neutral,Neutral,Mostly agree,Totally agree,Neutral,Neutral,Totally agree,Neutral,Totally agree,Neutral,Totally agree,Totally agree,Totally agree,Totally agree,Neutral,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Much more positive,More negative,2 people,No people,I'd rather not say,67,55 - 70,Man,Bachelor HBO/WO,High,Prefer not to say,Unknown,Utrecht,West,Unknown,.333822780082837,Man,60 - 70,High,West
288149315,11/27/2019 15:23:14,Qualified,Christian Union,Very likely,1 car,No,No people,Myself,1.000-4.9999,10-19 km,Rare/never,Public road,Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,No,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Neutral,Neutral,Mostly agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,1 person,No people,€20.000 - €34.999,69,55 - 70,Woman,VMBO (theoretical/mixed)/Mavo,Middle,Below average,Below average,Gelderland,East,Myself,.515255417016271,Woman,60 - 70,Middle,East
