NMID,tEND,tConditi,Country,Gender,RegionGermany,PunchRegionGermany,RegionHungary,PunchRegionHungary,RegionNorway,PunchRegionNorway,RegionDenmark,EducationGermany,EducationHungary,EducationNorway,EducationDenmark,Edu,PoliticsGermany,PoliticsGermanyt,PoliticsHungary,PoliticsHungaryt,PoliticsNorway,PoliticsDenmark,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_99999997,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_99999997,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_99999997,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q19,Q20,Q21,Q16a,Q16b,Q16bt,Price,Q22,Q23,Q24,lft,Lftcat,wgrim
297287565,4/28/2020,1,6,1,14,3, , , , , ,7, , , ,3,5,0, , , , ,5,1,4,1,1,99999997,1,8,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,9, , , ,1,1,3,61,5,.737967139239402
297287566,4/28/2020,1,6,1,9,2, , , , , ,5, , , ,2,3,0, , , , ,1,2,4,1,3,3,2,5,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,2,99999997,3,4,3,2,4,3,2,2,3,3,3,2,1,2,4,2,2,4,2,4,2,2,2,2,4,3,3,2,2,0,7500,2,1,2,69,5,.641613216801418
297287567,4/28/2020,1,6,2,10,4, , , , , ,3, , , ,2,2,0, , , , ,1,2,4,1,1,1,3,6,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,2,1,1,5,99999997,4,99999997,4,4,4,4,4,4,99999997,4,99999997,4,99999997,99999997,4,4,99999997,99999997,4,2,4,5,4,1,4,3,0,25000,1,1,2,46,4,1.34346030553852
297287568,4/28/2020,1,6,2,10,4, , , , , ,3, , , ,2,11,0, , , , ,5,1,99999997,1,3,99999997,99999997,8,99999997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99999997,2,3,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,4,3,3,99999997, , , ,2,1,2,68,5,2.66907728479975
297287569,4/28/2020,1,6,2,11,4, , , , , ,5, , , ,2,1,0, , , , ,2,2,4,1,3,3,2,5,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99999997,2,99999997,99999997,99999997,4,99999997,99999997,2,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,2,99999997,99999997,99999997,1,1,99999997,99999997,99999997,1,3,3,3,6,0,15000,2,3,2,34,2,1.09313931038546
297287570,4/28/2020,1,6,1,10,4, , , , , ,4, , , ,2,6,0, , , , ,2,2,4,2,1,5,4,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,5,5,0,45000,2,3,4,36,3,.443575541628041
297287572,4/28/2020,1,6,1,1,5, , , , , ,4, , , ,2,1,0, , , , ,1,2,4,1,1,2,1,6,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,2,1,1,5,5,5,5,5,5,1,5,5,5,1,5,3,5,5,5,5,1,5,3,5,3,3,4,3,1,3,1,0,15000,1,1,3,48,4,1.15190613542078
297287573,4/28/2020,1,6,2,7,1, , , , , ,4, , , ,2,1,0, , , , ,1,2,4,3,1,8,7,2,4,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,4,3,2,5,5,5,5,5,5,5,1,6,6,0,75000,1,1,3,40,3,.98309033698726
297287574,4/28/2020,1,6,2,4,3, , , , , ,4, , , ,2,4,0, , , , ,2,2,1,2,1,4,3,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,1,2,2,4,4,4,3,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,1,2,5,3,0,45000,2,1,4,31,2,.725740027574034
297287575,4/28/2020,1,6,1,15,2, , , , , ,5, , , ,2,6,0, , , , ,1,3,4,3,1,4,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,4,1,1,4,4,4,4,4,4,5,4,2,3,4,1,1,2,4,4,4,4,1,4,1,4,1,1,8,4,4,2,3,0,7500,3,1,5,33,2,.330043598343289
